번호	 제목
1	중대재해법 시대 ‘취업 백지수표’ 자격증… 건설·산업 안전기사 시험에 응시자 몰린다
2	韓은 기업인 벌주기 좋은 나라?…선진국 처벌 따져보니
3	공인노무사 직무 범위에 중대재해법·가사근로자법 관련 추가
4	‘집단 급성중독’…중대재해법 경영책임자 첫 기소
5	"무서워서 사업 못하겠네"…중대재해법 반년만에 손질, 왜?
6	KCA, 중대재해법 대비…종합 안전훈련 실시
7	"중대재해법 개념부터 명확히" 목소리 다시 높이는 경제계
8	이정식 고용장관 "중대재해법은 규제 아닌 ESG 경영의 척도”
9	정부, 중대재해처벌법 손본다…사업자 책임 완화 추진
10	학동붕괴참사 1주년…정·재계 “중대재해처벌 완화” 목소리
11	[중대재해처벌법 현황과 전망 中] 담론을 넘어 삶의 현장으로..."절반의 완성“
12	중대재해법 100일…中企 81.3% “경영상 부담 크다”
13	음성 대학 캠퍼스서 근로자 추락사…중대재해처벌법 조사
14	"부산을 산업재해 없는 도시로"…개선사항 190건 발굴
15	화성서 끼임사고, 경기 중대재해 3호 되나…
16	중대재해법 원년 산업안전수준 높일 대한민국 최대 행사 열린다
17	인천서 소형크레인 사고 잇따라…노조 "대책 마련해야“
18	[중대재해처벌법 시대, 위험에 남겨진 사람들 ①] ‘건설기계 바깥’의 건설기계 운전자
19	중대재해법 시행됐지만 올해 지자체서 노동자 15명 사망
20	한달 사망자만 50명…속도 붙은 중대재해법 ‘힘빼기’에 현장은 불안
21	중대재해법 시행에도…5개월동안 노후산단에서 24명 사상
22	중대법 사고 85%, 고용부 예측 범위에 있었다
23	올해 산재 사망자 벌써 270명·하루 2명씩 사망…약발 안받는 중대재해법
24	50인 미만 소규모 사업장들, 중대재해법 대응 속도낸다
25	중대재해법 안 먹히나…제조업 사망사고 '위험 경보’ 발령
26	[중대재해처벌법 100일] 재해 사고, 제조업 45%ㆍ건설 37%… 中企 안전관리 ‘사각지대’
27	열사병도 중대재해로 처벌 가능...현장에선 "스스로 예방"
28	고소작업차 ‘추락 사망’ 속출…“구조적 문제 있어”
29	중대재해법 시행후 건설현장 사망자↓…1분기 55명→2분기 44명
30	중대재해처벌법 시행 반년...보상 대책 마련 '갈 길 멀어'
31	간과하기 쉽지만 산재다발 ‘비계작업’… “설치·해체 직접 해봐 안전 지켜”
32	밀폐공간 질식재해 치명률 47.4%..."유해가스 꼭 확인을"
33	종이 제조공장서 50대 노동자, 사일로에 매몰돼 숨져
34	중대재해법 6개월 '초라한 성적표'…기업부담만 늘어, 수정절실
35	중대재해처벌법 시행 반년..제주 노동자 사망사고 되레 '증가'
36	"중대재해 낮추려면 처벌 아닌 지원·예방중심으로 바꿔야"
37	상반기 산업재해 사망 근로자 320명…건설업이 절반
38	올 상반기 산업재해로 숨진 근로자 320명
39	중대재해법 예방활동 덕 봤나…상반기 사망사고 9.3% 감소
40	“중대재해법 시행령 개정·현장 안전 OECD 수준으로”…고용부 업무보고
41	노동부, 중대재해법 ‘경영책임자 범위 확대’ 안 한다
42	기업인 `감옥행` 줄어들까… 공정거래법·중대재해법 형벌 손본다
43	최근 5년간 추석 전후 하루 2.27명 산재사망…평소보다 20%↑
44	철강업계, 일손 부족에 ‘울상’…”잔업은 옛말”
45	중대재해법 처벌에 과징금제 도입될까
46	산재 막는 안전지킴이, 최저임금에 ‘줄퇴사’
47	[이슈분석] 중대재해처벌법 시행 7개월, 효과 있었나?
48	노동·시민사회 "중대재해법 시행 7개월...산재 사고 여전"
49	[중대재해처벌법, 그것이 알고싶다] 소규모 현장에서 발생한 중대산업재해는 누가ㆍ언제부터 부담할까
50	디지털 기술로 신속 실내긴급구조 체계 구축한다
51	AI·IoT 활용해 홍수피해 예측하고 골든타임 확보…디지털 안전망 만든다
52	중소기업 옴부즈만 "산업기능요원 산업재해 규정 개선 추진"
53	끼임 사고 발생하면 즉시 전원 차단…정부 "디지털 기술로 산업 현장 중대 재해 예방"
54	중대재해에 인권침해, 담합까지...추락하는 철강업 ESG
55	"돈 더 줘도 싫어요"…건설현장, 중대재해법 안전관리 인력난
56	"종이호랑이 된 중대재해처벌법…수사 부실·장기화 우려"
57	'시행 반년' 중대재해법 무색…건설업계 사망사고 속출
58	폭우에 감전되고 추락하고…잇따른 작업장 사망, '중대재해법' 검토
59	'중대재해' 기업 10곳 중 4곳, 과거에도 사망사고
60	'중대재해처벌법' 시행에도 중대재해 사망자 330명…개선 無
61	3D지도·로봇개로 건설현장 사고 막는다
62	서울시, 중대재해시설 점검…"93건 개선 필요"
63	재해 걱정 없는 일터 조성 본격화…“실효성 있나”
64	[단독] 추락사 2건… 서울서도 중대재해법 첫 송치
65	중대재해처벌법 시행 반년…갈길 먼 무재해 공사현장
66	서울시, 중대재해법 예방 총력…전담조직 신설
67	경총 "중대재해 발생 시 작업중지, 합리적으로 개선해야"
68	[중대재해법 6개월]④ 적용 대상·의무 규정 '모호하다'
69	중대재해법 6개월…이달 ‘법 적용 사업장’ 사망사고 3배
70	'중대재해법' 적용되는 중대형 사업장, 7월 산재 사망 급증
71	한해 과로사 600명 중 산재 인정은 40% 불과 보장성 강화해야
72	16년치 사망자 분석 하청이 원청 2배
73	중소기업계 중대재해법 부담돼 전문인력 등 지원 절실
74	최근 5년간 중대재해 3476건 22%는 작업중지 명령 없었다
75	고용부, 첫 산안 감독협의회 개최 산재, 5년 내 OECD 평균수준으로
76	중대재해법 손보는 노동부 기업 자율·책임으로 패러다임 전환
77	12월부터 건설현장 소방안전관리자 선임 의무화 안전 전문인력 확보 또 난항
78	명절 직후 산재 사망사고 증가 정부, 고위험사업장 안전 당부
79	시행령으로 중대재해처벌법 완화 올 상반기 재해 사망자만 1142명
80	시행 8개월 중대재해처벌법 짚어보니 처벌 아닌 예방 집중해야
81	중대재해법 시행 7개월여만 시행령 개정 수순 무엇이 바뀌나
82	중대재해법 CEO 의무범위 명확히 10개 법령 준수 땐 처벌 면제 가능
83	중대재해처벌법 개정 방향 의견 충돌
84	중대법 손질, 안하나 못하나 제조업ㆍ기타업종 사망사고는 오히려 늘어나
85	중대재해 감축 로드맵 11월말로 연기…어떤 내용 들어가길래
86	단독 ‘중대재해법 시행 9개월’ 올해 사망 노동자 206명…작년 추월
87	중대재해법 9개월… 하루 1.8명꼴 사망, 줄지가 않는다
88	중대재해 줄이려면 '안전문화' 구축해야…처벌만으론 부작용
89	식품·유통업계, 연이은 사고에… ‘중대재해법’ 적용 여부 촉각
90	중대재해법, 법 모호·과잉 처벌 헌재로
91	중대재해처벌법 첫 ‘위헌심판’ 신청…노동계 “무력화 중단해야”
92	추락·끼임 사망사고에도 산업현장 안전불감증 ‘심각’
93	2022 국감 중대재해법 시행에도 건설현장 안전사고 여전…국토부는 “현장조사 강화”
94	대기업 10곳, 2년8개월간 안전보건 교육 미실시로 과태료 8억원
95	5년간 제조업 산재사망 1천17명…70%가 50인미만 업체서 발생
96	상반기 건설사고 사망 222명… 전체 산업계 ‘절반’
97	끼임 사고 사망’ 매년 100명… 시설 안전규정조차 없다
98	최근 10년간 산단 중대사고 283건…중소기업이 대기업의 1.7배
99	10월은 산재의 달’…사망만 356명, 가장 많은 이유는?
100	올해 산업재해 민원 벌써 7423건…3년 전보다 3배 이상 급증
101	대형 건설사, 큰 공사장에서만 안전수칙 준수?...산재는 증가
102	단독 작년 산재 은폐 적발 918건으로 4년래 최다
103	중대재해법 시행 후에도 446명 사망…법 유예 사업장서 281명 숨져
104	정부 중대재해 감축 로드맵 발표 임박… 처벌에서 투자 촉진으로
105	친절한 뉴스K 반복되는 중대재해…예방책은?
106	10월 중대재해 44건 발생...중대재해법 예외 소기업이 59% 차지
107	산재 그만⑥중대재해법, 수사·처벌에만 방점…산업별 특성 고려 필요
108	중대재해 줄이기 위한 사업주 자율 규제, 법 준수로 인정해야
109	반복되는 건설사고)처벌 중심 중대재해법 문제..."충분한 공사기간 제공해야"
110	산재 그만 ②OECD 수준 사고 감축…수술대 오르는 중대재해법
111	현대아울렛 화재 참사 ‘유통업계 중대재해법 1호’ 적용…오너 일가 입건 피해
112	하청 근로자 사망, 원청 대표이사 중대재해 첫 기소
113	단독 “50인 미만 빼자”…기재부, 중대재해법 ‘적용유예 연장’ 시도
114	유통가 잇따른 ISO 인증 획득…ESG 경영 강화
115	식품제조업체 등 ‘안전불감증’…무관용 ‘불시감독’
116	근로자 관점으로 현장 안전 관리 실태 파악해야
117	노동자 ‘안전’ 미흡 이유로 줄파업… 동시다발 셧다운 위기
118	안전보건 자료 쉽고 빠르게 찾아보세요"…목록집 발간
119	대형유통업체 10곳중 4곳 화재·산재 안전불감증
120	중대재해 10건 중 1건은 공공부문서 발생…비정규직·하청 집중
121	증가하는 건설업 산재 사망자수…정부, 중대재해 감축 위해 나선다
122	단독 ‘안전 투자 얼마나 했나’ 공시 검토…중대재해 줄일까?
123	전문인력 부족·비용 부담… 대응능력 갖춘 기업 14%뿐
124	중대재해법 1년 ②'타깃될라' 철강·중공업도 안전관리 총력전
125	‘한랭질환’ 산업재해 1월에 최다…동상·동창 주의
126	단독 ‘중대재해법 보완’ 재계 호소에…尹“결함 많은 법, 최대한 기업 편의를” 화답
127	건설현장에서 안전사고 사망자가 끊이질 않는 이유
128	'산재 1위' 건설 사업장 38만곳인데…근로감독관 1명이 2500곳 담당
129	포커스온 중대재해처벌법 1년, 우리의 산업 안전은?
130	조선소 내 끼임 사고로 인한 사망사고…“중대산업재해 해당”
131	중대재해, 처벌 대신 '자기규율'로 줄인다…로드맵 발표
132	끼이고 떨어지고…보는 것 만으로도 “삶이 지옥 됐다”
133	지난해 중대재해 1위 건설업…제조업 사망사고 6.6% 증가
134	뉴딥 '처벌 없이' 보낸 1년…중대재해법 운명은?
135	중대재해처벌법 시행 1년 만에 손질…자율예방 체계 중심으로
136	건설 사고 절반은 장비…"검사 기준 높이고, 관리 대상은 좁혀야"
137	계묘년 건설업계 신년사 3대 키워드 '신성장·위기관리·안전'
138	기업 40%, "중대재해법 대비해 안전보건 투자 늘리겠다"
139	제빵공장 '20대 근로자 사망' 중대재해법 위반 SPL대표 검찰송치
140	중대재해처벌법 시행 1년…“안전 전담 인력 둔 기업, 2배 이상 증가”
141	중대재해법 시행 1년…부산기업, 안전 관련 인력·예산↑
142	중대재해처벌법 시행 1년...1월에도 58명이 퇴근하지 못했습니다
143	단독 법원이 법을 몰라서…중대재해법 재판 11건 중 7건 잘못 배당
144	빅데이터로 위험요인 분석…고위험사업장 8만개 선별·집중 관리
145	"중대재해 즉시 알린다"…고용부, 기업 '오픈채팅방' 운영
146	“안전보건 전문가 88%, 중대재해법상 처벌조항 과도하지 않아”
147	중대재해법 1년만에 '솜방망이' 전락 우려…고용부, 징역·벌금 대신 과태료 검토
148	한국스마트안전보건협회 출범...고용부 설립 허가
149	70대 하청 노동자, 덤프트럭 부딪혀 숨져…중대재해 조사
150	산업재해 자기규율 예방체계 구축…고용부 법령정비추진반 가동
151	교통안전공단, ICT 기반 자동차검사소 스마트 안전관리 시스템 개발 추진
152	고용부, '스마트 안전장비 보급·확산사업' 첫 시행…최대 3천만원 지원
153	국토안전관리원 "스마트 안전장비 지원 신청 받습니다"
154	종합 KCC건설 공사장서 또 근로자 사망…고용부, 중대재해법 조사 착수
155	세아베스틸 화상 근로자 치료 중 숨져…중대재해법 조사
156	단독국토부, 건설현장 안전관리 규제 아닌 민간 자율 맡긴다
157	건설 현장별 ‘표준 안전디자인’ 개발한다
158	‘2023 대한민국 지속가능화학위크’, 3월 22일 인천 송도에서 개최
159	한은 "산업용 로봇 늘린 만큼 산업재해 줄어"

